claim_id,claim,evidence,label,dataset,source,metadata
scifact_train_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,,NOT_ENOUGH_INFO,scifact,Docs: 22080671,"{""original_id"": 15, ""cited_doc_ids"": [22080671], ""is_grounded"": false}"
scifact_train_17,53% of perinatal mortality is due to low birth weight.,,NOT_ENOUGH_INFO,scifact,Docs: 1606628,"{""original_id"": 17, ""cited_doc_ids"": [1606628], ""is_grounded"": false}"
scifact_train_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,,NOT_ENOUGH_INFO,scifact,Docs: 22942787,"{""original_id"": 18, ""cited_doc_ids"": [22942787], ""is_grounded"": false}"
scifact_train_19,7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,,NOT_ENOUGH_INFO,scifact,Docs: 3202143,"{""original_id"": 19, ""cited_doc_ids"": [3202143], ""is_grounded"": false}"
scifact_train_20,7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,,NOT_ENOUGH_INFO,scifact,Docs: 3202143,"{""original_id"": 20, ""cited_doc_ids"": [3202143], ""is_grounded"": false}"
scifact_train_21,70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,,NOT_ENOUGH_INFO,scifact,Docs: 41493639,"{""original_id"": 21, ""cited_doc_ids"": [41493639], ""is_grounded"": false}"
scifact_train_22_doc6490571_rat0,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.",SUPPORTS,scifact,"PubMed_6490571: Prevalence, severity, and unmet need for treatment of mental disorders in the World Health Organization World Mental Health Surveys.","{""original_id"": 22, ""doc_id"": 6490571, ""doc_title"": ""Prevalence, severity, and unmet need for treatment of mental disorders in the World Health Organization World Mental Health Surveys."", ""sentence_indices"": [7], ""is_grounded"": true}"
scifact_train_24,90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,,NOT_ENOUGH_INFO,scifact,Docs: 3471191,"{""original_id"": 24, ""cited_doc_ids"": [3471191], ""is_grounded"": false}"
scifact_train_25,90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,NOT_ENOUGH_INFO,scifact,Docs: 2613775,"{""original_id"": 25, ""cited_doc_ids"": [2613775], ""is_grounded"": false}"
scifact_train_26,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,,NOT_ENOUGH_INFO,scifact,Docs: 32390525,"{""original_id"": 26, ""cited_doc_ids"": [32390525], ""is_grounded"": false}"
scifact_train_27,A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,,NOT_ENOUGH_INFO,scifact,Docs: 32390525,"{""original_id"": 27, ""cited_doc_ids"": [32390525], ""is_grounded"": false}"
scifact_train_28_doc12670680_rat0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).",REFUTES,scifact,PubMed_12670680: BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS,"{""original_id"": 28, ""doc_id"": 12670680, ""doc_title"": ""BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS"", ""sentence_indices"": [1], ""is_grounded"": true}"
scifact_train_28_doc12670680_rat1,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.",REFUTES,scifact,PubMed_12670680: BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS,"{""original_id"": 28, ""doc_id"": 12670680, ""doc_title"": ""BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS"", ""sentence_indices"": [2], ""is_grounded"": true}"
scifact_train_28_doc12670680_rat2,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.",REFUTES,scifact,PubMed_12670680: BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS,"{""original_id"": 28, ""doc_id"": 12670680, ""doc_title"": ""BASOPHILS AND THE T HELPER 2 ENVIRONMENT CAN PROMOTE THE DEVELOPMENT OF LUPUS NEPHRITIS"", ""sentence_indices"": [4], ""is_grounded"": true}"
scifact_train_30_doc24341590_rat0,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively.",SUPPORTS,scifact,PubMed_24341590: Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen.,"{""original_id"": 30, ""doc_id"": 24341590, ""doc_title"": ""Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen."", ""sentence_indices"": [10], ""is_grounded"": true}"
scifact_train_30_doc24341590_rat1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28).",SUPPORTS,scifact,PubMed_24341590: Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen.,"{""original_id"": 30, ""doc_id"": 24341590, ""doc_title"": ""Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen."", ""sentence_indices"": [11], ""is_grounded"": true}"
scifact_train_30_doc24341590_rat2,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).",SUPPORTS,scifact,PubMed_24341590: Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen.,"{""original_id"": 30, ""doc_id"": 24341590, ""doc_title"": ""Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen."", ""sentence_indices"": [12], ""is_grounded"": true}"
scifact_train_30_doc24341590_rat3,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.",SUPPORTS,scifact,PubMed_24341590: Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen.,"{""original_id"": 30, ""doc_id"": 24341590, ""doc_title"": ""Association between CYP2D6 polymorphisms and outcomes among women with early stage breast cancer treated with tamoxifen."", ""sentence_indices"": [13], ""is_grounded"": true}"
scifact_train_32_doc12428497_rat0,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.,REFUTES,scifact,"PubMed_12428497: Accelerating Policy Decisions to Adopt Haemophilus influenzae Type b Vaccine: A Global, Multivariable Analysis","{""original_id"": 32, ""doc_id"": 12428497, ""doc_title"": ""Accelerating Policy Decisions to Adopt Haemophilus influenzae Type b Vaccine: A Global, Multivariable Analysis"", ""sentence_indices"": [8], ""is_grounded"": true}"
scifact_train_34_doc11705328_rat0,A deficiency of folate increases blood levels of homocysteine.,"RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.",SUPPORTS,scifact,PubMed_11705328: Randomized trial of folic acid supplementation and serum homocysteine levels.,"{""original_id"": 34, ""doc_id"": 11705328, ""doc_title"": ""Randomized trial of folic acid supplementation and serum homocysteine levels."", ""sentence_indices"": [4], ""is_grounded"": true}"
scifact_train_35,A deficiency of vitamin B12 decreases blood levels of homocysteine.,,NOT_ENOUGH_INFO,scifact,"Docs: 5152028,11705328","{""original_id"": 35, ""cited_doc_ids"": [5152028, 11705328], ""is_grounded"": false}"
scifact_train_37,A deficiency of vitamin B6 decreases blood levels of homocysteine.,,NOT_ENOUGH_INFO,scifact,"Docs: 5152028,11705328","{""original_id"": 37, ""cited_doc_ids"": [5152028, 11705328], ""is_grounded"": false}"
scifact_train_39_doc13497630_rat0,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",SUPPORTS,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 39, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [7], ""is_grounded"": true}"
scifact_train_39_doc13497630_rat1,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",SUPPORTS,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 39, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [8], ""is_grounded"": true}"
scifact_train_39_doc13497630_rat2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",SUPPORTS,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 39, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [9], ""is_grounded"": true}"
scifact_train_39_doc13497630_rat3,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",SUPPORTS,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 39, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [10], ""is_grounded"": true}"
scifact_train_39_doc13497630_rat4,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",SUPPORTS,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 39, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [11], ""is_grounded"": true}"
scifact_train_40_doc13497630_rat0,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",REFUTES,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 40, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [7], ""is_grounded"": true}"
scifact_train_40_doc13497630_rat1,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",REFUTES,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 40, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [8], ""is_grounded"": true}"
scifact_train_40_doc13497630_rat2,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",REFUTES,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 40, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [9], ""is_grounded"": true}"
scifact_train_40_doc13497630_rat3,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",REFUTES,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 40, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [10], ""is_grounded"": true}"
scifact_train_40_doc13497630_rat4,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",REFUTES,scifact,PubMed_13497630: Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age,"{""original_id"": 40, ""doc_id"": 13497630, ""doc_title"": ""Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age"", ""sentence_indices"": [11], ""is_grounded"": true}"
scifact_train_41_doc18174210_rat0,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count. We estimated that the haematological profile in children homozygous for alpha(+)-thalassaemia reduces the risk of SMA during acute malaria compared to children of normal genotype (relative risk 0.52; 95% confidence interval [CI] 0.24-1.12, p = 0.09).",SUPPORTS,scifact,PubMed_18174210: Increased Microerythrocyte Count in Homozygous α+-Thalassaemia Contributes to Protection against Severe Malarial Anaemia,"{""original_id"": 41, ""doc_id"": 18174210, ""doc_title"": ""Increased Microerythrocyte Count in Homozygous \u03b1+-Thalassaemia Contributes to Protection against Severe Malarial Anaemia"", ""sentence_indices"": [1, 9], ""is_grounded"": true}"
scifact_train_41_doc18174210_rat1,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,CONCLUSIONS The increased erythrocyte count and microcytosis in children homozygous for alpha(+)-thalassaemia may contribute substantially to their protection against SMA.,SUPPORTS,scifact,PubMed_18174210: Increased Microerythrocyte Count in Homozygous α+-Thalassaemia Contributes to Protection against Severe Malarial Anaemia,"{""original_id"": 41, ""doc_id"": 18174210, ""doc_title"": ""Increased Microerythrocyte Count in Homozygous \u03b1+-Thalassaemia Contributes to Protection against Severe Malarial Anaemia"", ""sentence_indices"": [10], ""is_grounded"": true}"
scifact_train_43,A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,,NOT_ENOUGH_INFO,scifact,Docs: 7224723,"{""original_id"": 43, ""cited_doc_ids"": [7224723], ""is_grounded"": false}"
scifact_train_44_doc56893404_rat0,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,"We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.",SUPPORTS,scifact,PubMed_56893404: Macrosomia and Hyperinsulinaemic Hypoglycaemia in Patients with Heterozygous Mutations in the HNF4A Gene,"{""original_id"": 44, ""doc_id"": 56893404, ""doc_title"": ""Macrosomia and Hyperinsulinaemic Hypoglycaemia in Patients with Heterozygous Mutations in the HNF4A Gene"", ""sentence_indices"": [3], ""is_grounded"": true}"
scifact_train_45,A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,,NOT_ENOUGH_INFO,scifact,Docs: 56893404,"{""original_id"": 45, ""cited_doc_ids"": [56893404], ""is_grounded"": false}"
scifact_train_46_doc380526_rat0,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,"Individual genotyping of two SNPs (rs1934179 and rs7063116) in DGKK, encoding diacylglycerol kinase κ, produced compelling evidence for association with hypospadias in the discovery sample (allele-specific odds ratio (OR) = 2.5, P = 2.5 × 10−11 and OR = 2.3, P = 2.9 × 10−9, respectively) and in the Dutch (OR = 3.9, P = 2.4 × 10−5 and OR = 3.8, P = 3.4 × 10−5) and Swedish (OR = 2.5, P = 2.6 × 10−8 and OR = 2.2, P = 2.7 × 10−6) replication samples.",SUPPORTS,scifact,PubMed_380526: Common variants in DGKK are strongly associated with risk of hypospadias,"{""original_id"": 46, ""doc_id"": 380526, ""doc_title"": ""Common variants in DGKK are strongly associated with risk of hypospadias"", ""sentence_indices"": [2], ""is_grounded"": true}"
scifact_train_47_doc26996935_rat0,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,We detect a strong and reproducible bias in the phage genome locations from which spacers derive.,SUPPORTS,scifact,PubMed_26996935: Strong bias in the bacterial CRISPR elements that confer immunity to phage.,"{""original_id"": 47, ""doc_id"": 26996935, ""doc_title"": ""Strong bias in the bacterial CRISPR elements that confer immunity to phage."", ""sentence_indices"": [6], ""is_grounded"": true}"
scifact_train_52_doc45638119_rat0,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,"In a series of 577 breast carcinomas, expression of ALDH1 detected by immunostaining correlated with poor prognosis.",SUPPORTS,scifact,PubMed_45638119: ALDH1 is a marker of normal and malignant human mammary stem cells and a predictor of poor clinical outcome.,"{""original_id"": 52, ""doc_id"": 45638119, ""doc_title"": ""ALDH1 is a marker of normal and malignant human mammary stem cells and a predictor of poor clinical outcome."", ""sentence_indices"": [4], ""is_grounded"": true}"
scifact_train_55_doc49556906_rat0,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis.",SUPPORTS,scifact,PubMed_49556906: Metformin reverses established lung fibrosis in a bleomycin model,"{""original_id"": 55, ""doc_id"": 49556906, ""doc_title"": ""Metformin reverses established lung fibrosis in a bleomycin model"", ""sentence_indices"": [5], ""is_grounded"": true}"
scifact_train_55_doc49556906_rat1,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"In a bleomycin model of lung fibrosis in mice, metformin therapeutically accelerates the resolution of well-established fibrosis in an AMPK-dependent manner.",SUPPORTS,scifact,PubMed_49556906: Metformin reverses established lung fibrosis in a bleomycin model,"{""original_id"": 55, ""doc_id"": 49556906, ""doc_title"": ""Metformin reverses established lung fibrosis in a bleomycin model"", ""sentence_indices"": [6], ""is_grounded"": true}"
scifact_train_55_doc49556906_rat2,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"These studies implicate deficient AMPK activation in non-resolving, pathologic fibrotic processes, and support a role for metformin (or other AMPK activators) to reverse established fibrosis by facilitating deactivation and apoptosis of myofibroblasts.",SUPPORTS,scifact,PubMed_49556906: Metformin reverses established lung fibrosis in a bleomycin model,"{""original_id"": 55, ""doc_id"": 49556906, ""doc_title"": ""Metformin reverses established lung fibrosis in a bleomycin model"", ""sentence_indices"": [7], ""is_grounded"": true}"
scifact_train_58_doc4709641_rat0,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,"Using human neurons derived from induced pluripotent stem cells that expressed apolipoprotein E4 (ApoE4), a variant of the APOE gene product and the major genetic risk factor for AD, we demonstrated that ApoE4-expressing neurons had higher levels of tau phosphorylation, unrelated to their increased production of amyloid-β (Aβ) peptides, and that they displayed GABAergic neuron degeneration.",REFUTES,scifact,PubMed_4709641: Gain of toxic Apolipoprotein E4 effects in Human iPSC-Derived Neurons Is Ameliorated by a Small-Molecule Structure Corrector,"{""original_id"": 58, ""doc_id"": 4709641, ""doc_title"": ""Gain of toxic Apolipoprotein E4 effects in Human iPSC-Derived Neurons Is Ameliorated by a Small-Molecule Structure Corrector"", ""sentence_indices"": [1], ""is_grounded"": true}"
scifact_train_60_doc13899137_rat0,ART has no effect on the infectiveness of HIV-positive people.,"For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.",REFUTES,scifact,PubMed_13899137: HIV Treatment as Prevention: Systematic Comparison of Mathematical Models of the Potential Impact of Antiretroviral Therapy on HIV Incidence in South Africa,"{""original_id"": 60, ""doc_id"": 13899137, ""doc_title"": ""HIV Treatment as Prevention: Systematic Comparison of Mathematical Models of the Potential Impact of Antiretroviral Therapy on HIV Incidence in South Africa"", ""sentence_indices"": [5], ""is_grounded"": true}"
