id,verifiable,label,claim,evidence,claim_clean,claim_norm
125616,NOT VERIFIABLE,NOT ENOUGH INFO,Sriti Jha retired from acting in 2010.,"[[[147368, None, None, None]]]",Sriti Jha retired from acting in 2010.,sriti jha retired from acting in 2010.
129594,NOT VERIFIABLE,NOT ENOUGH INFO,The Boys from Brazil features a corpse.,"[[[151800, None, None, None]]]",The Boys from Brazil features a corpse.,the boys from brazil features a corpse.
224842,NOT VERIFIABLE,NOT ENOUGH INFO,Snoop Dogg is from Maine.,"[[[267913, None, None, None]]]",Snoop Dogg is from Maine.,snoop dogg is from maine.
136567,VERIFIABLE,REFUTES,Janet Varney is a German.,"[[[159225, 173816, 'Janet_Varney', 0]]]",Janet Varney is a German.,janet varney is a german.
228653,VERIFIABLE,SUPPORTS,"How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","[[[272829, 268507, 'How_to_Lose_Friends_&_Alienate_People_-LRB-film-RRB-', 6]], [[272830, 268508, 'How_to_Lose_Friends_&_Alienate_People_-LRB-film-RRB-', 6]]]","How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","how to lose friends & alienate people stars simon pegg, kirsten dunst, danny huston, gillian anderson, megan fox and jeff bridges, alongside max minghella and margo stilley."
3190,VERIFIABLE,SUPPORTS,Stagira is the birthplace of Plato.,"[[[19132, 23463, 'Stagira_-LRB-ancient_city-RRB-', 0]]]",Stagira is the birthplace of Plato.,stagira is the birthplace of plato.
220819,NOT VERIFIABLE,NOT ENOUGH INFO,The Royal Tenenbaum stars Dolly Parton.,"[[[262829, None, None, None]]]",The Royal Tenenbaum stars Dolly Parton.,the royal tenenbaum stars dolly parton.
83259,VERIFIABLE,REFUTES,Taylor Kitsch only worked on the 2012 film Savages.,"[[[100312, 113571, 'Taylor_Kitsch', 1]], [[100312, 113572, 'Taylor_Kitsch', 4]]]",Taylor Kitsch only worked on the 2012 film Savages.,taylor kitsch only worked on the 2012 film savages.
73729,NOT VERIFIABLE,NOT ENOUGH INFO,Yeh Dillagi had a cast.,"[[[90515, None, None, None]]]",Yeh Dillagi had a cast.,yeh dillagi had a cast.
30979,VERIFIABLE,SUPPORTS,Elephants have been featured in places.,"[[[47133, 56231, 'Elephant', 33]]]",Elephants have been featured in places.,elephants have been featured in places.
38784,NOT VERIFIABLE,NOT ENOUGH INFO,Minos fathered Persephone.,"[[[55003, None, None, None], [55034, None, None, None]]]",Minos fathered Persephone.,minos fathered persephone.
81684,NOT VERIFIABLE,NOT ENOUGH INFO,Mark Millar has worked on cars.,"[[[98728, None, None, None]]]",Mark Millar has worked on cars.,mark millar has worked on cars.
200786,VERIFIABLE,SUPPORTS,A Song of Ice and Fire is a work.,"[[[236237, 238752, 'A_Song_of_Ice_and_Fire', 0]]]",A Song of Ice and Fire is a work.,a song of ice and fire is a work.
146222,NOT VERIFIABLE,NOT ENOUGH INFO,Tony Blair was leader of the Conservative Party.,"[[[169716, None, None, None]]]",Tony Blair was leader of the Conservative Party.,tony blair was leader of the conservative party.
182775,VERIFIABLE,REFUTES,"Pitch Perfect 3 stars Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Alexis Knapp, Ester Dean, Hana Mae Lee, Chrissie Fit, Kelley Jakle.","[[[212685, 220163, 'Pitch_Perfect_3', 1]]]","Pitch Perfect 3 stars Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Alexis Knapp, Ester Dean, Hana Mae Lee, Chrissie Fit, Kelley Jakle.","pitch perfect 3 stars anna kendrick, anna camp, rebel wilson, brittany snow, hailee steinfeld, alexis knapp, ester dean, hana mae lee, chrissie fit, kelley jakle."
162716,NOT VERIFIABLE,NOT ENOUGH INFO,Patrick Cutrone is a basketball player.,"[[[187265, None, None, None]]]",Patrick Cutrone is a basketball player.,patrick cutrone is a basketball player.
71892,VERIFIABLE,REFUTES,Veronika Decides to Die is written by James Cameron.,"[[[231324, 234834, 'Veronika_Decides_to_Die_-LRB-film-RRB-', 1]], [[232698, 235845, 'Veronika_Decides_to_Die_-LRB-film-RRB-', 1]], [[318396, 307338, 'Veronika_Decides_to_Die_-LRB-film-RRB-', 1]], [[318397, 307339, 'Veronika_Decides_to_Die_-LRB-film-RRB-', 1]]]",Veronika Decides to Die is written by James Cameron.,veronika decides to die is written by james cameron.
5779,VERIFIABLE,REFUTES,Gennady Golovkin is a fencer.,"[[[22478, 27692, 'Gennady_Golovkin', 0]], [[22478, 27693, 'Gennady_Golovkin', 1]], [[22478, 27694, 'Gennady_Golovkin', 18]], [[22478, 27695, 'Gennady_Golovkin', 14]]]",Gennady Golovkin is a fencer.,gennady golovkin is a fencer.
47203,VERIFIABLE,REFUTES,Miss Selfridge began in a corpse.,"[[[64027, 74729, 'Miss_Selfridge', 0]]]",Miss Selfridge began in a corpse.,miss selfridge began in a corpse.
101875,VERIFIABLE,REFUTES,Thor: The Dark World is a movie about a DC comics character.,"[[[119615, 133692, 'Thor-COLON-_The_Dark_World', 0]], [[119615, 133693, 'Thor-COLON-_The_Dark_World', 4], [119615, 133693, 'Thor_-LRB-film-RRB-', 0]]]",Thor: The Dark World is a movie about a DC comics character.,thor: the dark world is a movie about a dc comics character.
7864,NOT VERIFIABLE,NOT ENOUGH INFO,The wendigo is native to dead bodies.,"[[[12864, None, None, None], [12873, None, None, None], [301216, None, None, None]]]",The wendigo is native to dead bodies.,the wendigo is native to dead bodies.
163401,NOT VERIFIABLE,NOT ENOUGH INFO,Ilkhanate contained Poland.,"[[[188107, None, None, None]]]",Ilkhanate contained Poland.,ilkhanate contained poland.
146756,NOT VERIFIABLE,NOT ENOUGH INFO,Veronika Decides to Die is a book.,"[[[170301, None, None, None]]]",Veronika Decides to Die is a book.,veronika decides to die is a book.
110561,VERIFIABLE,SUPPORTS,Reuters only sends out news in English.,"[[[129741, 144465, 'Reuters', 6]]]",Reuters only sends out news in English.,reuters only sends out news in english.
203945,NOT VERIFIABLE,NOT ENOUGH INFO,Laura Linney was on the Titanic.,"[[[240728, None, None, None]]]",Laura Linney was on the Titanic.,laura linney was on the titanic.
148919,VERIFIABLE,REFUTES,Galaxy Quest is a horror movie.,"[[[172586, 185873, 'Galaxy_Quest', 0]]]",Galaxy Quest is a horror movie.,galaxy quest is a horror movie.
91895,VERIFIABLE,REFUTES,Ethiopia is on a cape.,"[[[109354, 123018, 'Ethiopia', 2]]]",Ethiopia is on a cape.,ethiopia is on a cape.
214228,VERIFIABLE,REFUTES,Syria includes only one ethnic group which is Italian.,"[[[254320, 254024, 'Syria', 4]]]",Syria includes only one ethnic group which is Italian.,syria includes only one ethnic group which is italian.
200477,VERIFIABLE,REFUTES,Twilight's first novel has a released companion novel called Midnight Sun.,"[[[235823, 238426, 'Twilight_-LRB-novel_series-RRB-', 3]]]",Twilight's first novel has a released companion novel called Midnight Sun.,twilight's first novel has a released companion novel called midnight sun.
218910,VERIFIABLE,SUPPORTS,Renaissance art involved an artist.,"[[[260284, 258708, 'Renaissance_art', 30], [260284, 258708, 'Masaccio', 0]]]",Renaissance art involved an artist.,renaissance art involved an artist.
226246,NOT VERIFIABLE,NOT ENOUGH INFO,Gift of the Night Fury stars the voice of an actor whose middle name is Brandon.,"[[[269730, None, None, None]]]",Gift of the Night Fury stars the voice of an actor whose middle name is Brandon.,gift of the night fury stars the voice of an actor whose middle name is brandon.
182736,VERIFIABLE,SUPPORTS,"Pitch Perfect 3 stars Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Alexis Knapp, Ester Dean, Hana Mae Lee, Chrissie Fit, Kelley Jakle.","[[[212626, 220108, 'Pitch_Perfect_3', 1]]]","Pitch Perfect 3 stars Anna Kendrick, Anna Camp, Rebel Wilson, Brittany Snow, Hailee Steinfeld, Alexis Knapp, Ester Dean, Hana Mae Lee, Chrissie Fit, Kelley Jakle.","pitch perfect 3 stars anna kendrick, anna camp, rebel wilson, brittany snow, hailee steinfeld, alexis knapp, ester dean, hana mae lee, chrissie fit, kelley jakle."
26564,VERIFIABLE,REFUTES,Missing is a French film.,"[[[42722, 51364, 'Missing_-LRB-film-RRB-', 1]]]",Missing is a French film.,missing is a french film.
74342,VERIFIABLE,REFUTES,"Beverly Hills, 90210 was a non-political or social commentary show.","[[[91122, 103815, 'Beverly_Hills,_90210', 10]]]","Beverly Hills, 90210 was a non-political or social commentary show.","beverly hills, 90210 was a non-political or social commentary show."
200453,VERIFIABLE,REFUTES,Meryl Streep is an award losing actress.,"[[[235818, 238407, 'Meryl_Streep', 1]], [[235818, 238408, 'Meryl_Streep', 2]], [[235818, 238409, 'Meryl_Streep', 3]], [[235818, 238410, 'Meryl_Streep', 13]], [[235818, 238411, 'Meryl_Streep', 16]], [[235818, 238412, 'Meryl_Streep', 17]], [[235818, 238413, 'Meryl_Streep', 19]]]",Meryl Streep is an award losing actress.,meryl streep is an award losing actress.
49453,NOT VERIFIABLE,NOT ENOUGH INFO,Nanotechnology is manipulation of energy.,"[[[65772, None, None, None]]]",Nanotechnology is manipulation of energy.,nanotechnology is manipulation of energy.
160413,VERIFIABLE,SUPPORTS,"Beverly Hills, 90210 addressed numerous topical issues such as date rape, gay rights, animal rights, alcoholism, drug abuse, domestic violence, sex, antisemitism, racism, teenage suicide, teenage pregnancy, and AIDS.","[[[184901, 196771, 'Beverly_Hills,_90210', 10]]]","Beverly Hills, 90210 addressed numerous topical issues such as date rape, gay rights, animal rights, alcoholism, drug abuse, domestic violence, sex, antisemitism, racism, teenage suicide, teenage pregnancy, and AIDS.","beverly hills, 90210 addressed numerous topical issues such as date rape, gay rights, animal rights, alcoholism, drug abuse, domestic violence, sex, antisemitism, racism, teenage suicide, teenage pregnancy, and aids."
17112,VERIFIABLE,SUPPORTS,Pregnancy symptoms include various ailments.,"[[[32562, 39580, 'Pregnancy', 7]]]",Pregnancy symptoms include various ailments.,pregnancy symptoms include various ailments.
179527,VERIFIABLE,SUPPORTS,The Singing Detective has episodes.,"[[[210186, 217966, 'The_Singing_Detective', 1]]]",The Singing Detective has episodes.,the singing detective has episodes.
196248,NOT VERIFIABLE,NOT ENOUGH INFO,The Prince of Egypt takes place in Egypt.,"[[[230585, None, None, None]]]",The Prince of Egypt takes place in Egypt.,the prince of egypt takes place in egypt.
134005,VERIFIABLE,SUPPORTS,Henry V is an American film.,"[[[156541, 171143, 'Henry_V_-LRB-2012_film-RRB-', 0]]]",Henry V is an American film.,henry v is an american film.
93471,VERIFIABLE,REFUTES,The Proposal stars Jim Gaffigan.,"[[[110830, 124482, 'The_Proposal_-LRB-film-RRB-', 1]]]",The Proposal stars Jim Gaffigan.,the proposal stars jim gaffigan.
196253,VERIFIABLE,SUPPORTS,Emily Browning starred in The Echo of Thunder.,"[[[230594, 234253, 'Emily_Browning', 3]]]",Emily Browning starred in The Echo of Thunder.,emily browning starred in the echo of thunder.
148462,VERIFIABLE,SUPPORTS,Amaze Entertainment was a company.,"[[[172106, 185493, 'Amaze_Entertainment', 0]]]",Amaze Entertainment was a company.,amaze entertainment was a company.
161688,VERIFIABLE,SUPPORTS,Streptococcus belongs to an order.,"[[[186224, 198099, 'Streptococcus', 0]]]",Streptococcus belongs to an order.,streptococcus belongs to an order.
226250,NOT VERIFIABLE,NOT ENOUGH INFO,Gift of the Night Fury stars the voice of an American filmmaker.,"[[[269738, None, None, None]]]",Gift of the Night Fury stars the voice of an American filmmaker.,gift of the night fury stars the voice of an american filmmaker.
228642,VERIFIABLE,SUPPORTS,"How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","[[[272797, 268486, 'How_to_Lose_Friends_&_Alienate_People_-LRB-film-RRB-', 6]]]","How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","how to lose friends & alienate people stars simon pegg, kirsten dunst, danny huston, gillian anderson, megan fox and jeff bridges, alongside max minghella and margo stilley."
182572,VERIFIABLE,SUPPORTS,Movies are a popular culture category.,"[[[212356, 219917, 'Popular_culture', 2]]]",Movies are a popular culture category.,movies are a popular culture category.
219094,VERIFIABLE,SUPPORTS,"Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.","[[[260605, 258963, 'Deadpool_-LRB-film-RRB-', 1]], [[260626, 258972, 'Deadpool_-LRB-film-RRB-', 1]]]","Deadpool 2 featured Ryan Reynolds, Morena Baccarin, Ed Skrein, T. J. Miller, Gina Carano, Leslie Uggams, Brianna Hildebrand, and Stefan Kapičić.","deadpool 2 featured ryan reynolds, morena baccarin, ed skrein, t. j. miller, gina carano, leslie uggams, brianna hildebrand, and stefan kapičić."
106595,VERIFIABLE,REFUTES,Machete appears in the four Avengers films.,"[[[125120, 139454, 'Machete_-LRB-character-RRB-', 0]]]",Machete appears in the four Avengers films.,machete appears in the four avengers films.
132038,NOT VERIFIABLE,NOT ENOUGH INFO,Beauty Shop stars a human.,"[[[154431, None, None, None]]]",Beauty Shop stars a human.,beauty shop stars a human.
123070,NOT VERIFIABLE,NOT ENOUGH INFO,Bonnie Hunt was in Shawshank Redemption.,"[[[144526, None, None, None]]]",Bonnie Hunt was in Shawshank Redemption.,bonnie hunt was in shawshank redemption.
190990,NOT VERIFIABLE,NOT ENOUGH INFO,What a Girl Wants earned a gold certification in Sweden.,"[[[223237, None, None, None]]]",What a Girl Wants earned a gold certification in Sweden.,what a girl wants earned a gold certification in sweden.
199023,NOT VERIFIABLE,NOT ENOUGH INFO,International Relations includes animals.,"[[[234003, None, None, None]]]",International Relations includes animals.,international relations includes animals.
28426,VERIFIABLE,SUPPORTS,Taipei is the center of Taiwan.,"[[[44545, 53206, 'Taipei', 11]]]",Taipei is the center of Taiwan.,taipei is the center of taiwan.
199042,VERIFIABLE,REFUTES,International Relations only includes the entertainment industry.,"[[[234024, 236922, 'International_relations', 0]]]",International Relations only includes the entertainment industry.,international relations only includes the entertainment industry.
203963,NOT VERIFIABLE,NOT ENOUGH INFO,Laura Linney was on the Titanic.,"[[[240759, None, None, None]]]",Laura Linney was on the Titanic.,laura linney was on the titanic.
187685,VERIFIABLE,REFUTES,The United Kingdom is a member of no organizations.,"[[[220797, 226596, 'United_Kingdom', 39]]]",The United Kingdom is a member of no organizations.,the united kingdom is a member of no organizations.
200999,NOT VERIFIABLE,NOT ENOUGH INFO,The Midwestern United States includes South Korea.,"[[[236504, None, None, None]]]",The Midwestern United States includes South Korea.,the midwestern united states includes south korea.
177694,VERIFIABLE,SUPPORTS,Tubelight is produced by a man.,"[[[205951, 214415, 'Tubelight_-LRB-film-RRB-', 1]]]",Tubelight is produced by a man.,tubelight is produced by a man.
101186,VERIFIABLE,REFUTES,Asia is landlocked.,"[[[118947, 132816, 'Asia', 6]], [[118947, 132817, 'Asia', 8]], [[118947, 132818, 'Asia', 14]]]",Asia is landlocked.,asia is landlocked.
197104,VERIFIABLE,SUPPORTS,Paul Wesley appeared in Guiding Light.,"[[[231627, 235062, 'Paul_Wesley', 2]], [[231628, 235063, 'Paul_Wesley', 2]]]",Paul Wesley appeared in Guiding Light.,paul wesley appeared in guiding light.
226370,NOT VERIFIABLE,NOT ENOUGH INFO,Gift of the Night Fury exclusively stars the voices of people from Kenya.,"[[[269886, None, None, None]]]",Gift of the Night Fury exclusively stars the voices of people from Kenya.,gift of the night fury exclusively stars the voices of people from kenya.
214133,NOT VERIFIABLE,NOT ENOUGH INFO,Celeste and Jesse Forever was co-written by Rashida Jones.,"[[[254231, None, None, None]]]",Celeste and Jesse Forever was co-written by Rashida Jones.,celeste and jesse forever was co-written by rashida jones.
177704,NOT VERIFIABLE,NOT ENOUGH INFO,Tubelight is produced by an American actor.,"[[[205966, None, None, None]]]",Tubelight is produced by an American actor.,tubelight is produced by an american actor.
191795,NOT VERIFIABLE,NOT ENOUGH INFO,German is a Western Romance Language.,"[[[224319, None, None, None]]]",German is a Western Romance Language.,german is a western romance language.
205937,NOT VERIFIABLE,NOT ENOUGH INFO,Cosmopolitan as of 2011 contains content which includes articles on political dialogue.,"[[[243374, None, None, None]]]",Cosmopolitan as of 2011 contains content which includes articles on political dialogue.,cosmopolitan as of 2011 contains content which includes articles on political dialogue.
155225,VERIFIABLE,SUPPORTS,Jack Black starred in Gulliver's Travels.,"[[[179282, 191834, 'Jack_Black', 2]]]",Jack Black starred in Gulliver's Travels.,jack black starred in gulliver's travels.
149061,NOT VERIFIABLE,NOT ENOUGH INFO,Lee Min-ho is a South Korean writer.,"[[[172743, None, None, None]]]",Lee Min-ho is a South Korean writer.,lee min-ho is a south korean writer.
27171,VERIFIABLE,REFUTES,Everton F.C. is not a football club.,"[[[43310, 51953, 'Everton_F.C.', 0]]]",Everton F.C. is not a football club.,everton f.c. is not a football club.
225481,VERIFIABLE,SUPPORTS,Ice Hockey is popular in Russia.,"[[[268694, 265187, 'Ice_hockey', 7]]]",Ice Hockey is popular in Russia.,ice hockey is popular in russia.
130331,VERIFIABLE,REFUTES,Rio de Janeiro is in hell.,"[[[152584, 167371, 'Rio_de_Janeiro', 0]]]",Rio de Janeiro is in hell.,rio de janeiro is in hell.
162568,NOT VERIFIABLE,NOT ENOUGH INFO,Ed Sheeran is an English muffin.,"[[[187121, None, None, None]]]",Ed Sheeran is an English muffin.,ed sheeran is an english muffin.
116911,VERIFIABLE,REFUTES,"Beverly Hills, 90210 was a non-political or social commentary show.","[[[137270, 152085, 'Beverly_Hills,_90210', 10]]]","Beverly Hills, 90210 was a non-political or social commentary show.","beverly hills, 90210 was a non-political or social commentary show."
228674,VERIFIABLE,SUPPORTS,"How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","[[[273831, 269178, 'How_to_Lose_Friends_&_Alienate_People_-LRB-film-RRB-', 6]]]","How to Lose Friends & Alienate People stars Simon Pegg, Kirsten Dunst, Danny Huston, Gillian Anderson, Megan Fox and Jeff Bridges, alongside Max Minghella and Margo Stilley.","how to lose friends & alienate people stars simon pegg, kirsten dunst, danny huston, gillian anderson, megan fox and jeff bridges, alongside max minghella and margo stilley."
228910,NOT VERIFIABLE,NOT ENOUGH INFO,Drama school offers a degree.,"[[[273127, None, None, None]]]",Drama school offers a degree.,drama school offers a degree.
153747,NOT VERIFIABLE,NOT ENOUGH INFO,There are Christian states in the world.,"[[[177740, None, None, None]]]",There are Christian states in the world.,there are christian states in the world.
176514,VERIFIABLE,SUPPORTS,Sunrise created anime.,"[[[204463, 213243, 'Sunrise_-LRB-company-RRB-', 0], [204463, 213243, 'Anime', 2]], [[204463, 213244, 'Sunrise_-LRB-company-RRB-', 6]], [[204463, 213245, 'Sunrise_-LRB-company-RRB-', 19]]]",Sunrise created anime.,sunrise created anime.
127839,NOT VERIFIABLE,NOT ENOUGH INFO,Minos fathered a dog.,"[[[149812, None, None, None]]]",Minos fathered a dog.,minos fathered a dog.
126930,NOT VERIFIABLE,NOT ENOUGH INFO,The Boys from Brazil features a corpse.,"[[[148780, None, None, None]]]",The Boys from Brazil features a corpse.,the boys from brazil features a corpse.
116071,NOT VERIFIABLE,NOT ENOUGH INFO,Ethiopia is on a cape.,"[[[136346, None, None, None]]]",Ethiopia is on a cape.,ethiopia is on a cape.
200437,VERIFIABLE,SUPPORTS,Meryl Streep is an award losing actress.,"[[[235772, 238346, 'Meryl_Streep', 3]]]",Meryl Streep is an award losing actress.,meryl streep is an award losing actress.
114219,VERIFIABLE,SUPPORTS,Keith Urban is married.,"[[[134134, 149022, 'Keith_Urban', 24]], [[134135, 149023, 'Keith_Urban', 24]]]",Keith Urban is married.,keith urban is married.
93456,VERIFIABLE,REFUTES,The Hunger Games is a television show.,"[[[110815, 124470, 'The_Hunger_Games_-LRB-film-RRB-', 0]]]",The Hunger Games is a television show.,the hunger games is a television show.
108651,NOT VERIFIABLE,NOT ENOUGH INFO,Justified won ten Primetime Emmy Awards.,"[[[127472, None, None, None]]]",Justified won ten Primetime Emmy Awards.,justified won ten primetime emmy awards.
87103,NOT VERIFIABLE,NOT ENOUGH INFO,The Dark Knight Rises' filming took place in a city.,"[[[104296, None, None, None]]]",The Dark Knight Rises' filming took place in a city.,the dark knight rises' filming took place in a city.
186144,NOT VERIFIABLE,NOT ENOUGH INFO,There are bodies of water in Ontario.,"[[[217068, None, None, None]]]",There are bodies of water in Ontario.,there are bodies of water in ontario.
186124,VERIFIABLE,SUPPORTS,There are people in Ontario.,"[[[217072, 223706, 'Ontario', 1]], [[217072, 223707, 'Ontario', 3]], [[217072, 223708, 'Ontario', 13]], [[217072, 223709, 'Ontario', 14]]]",There are people in Ontario.,there are people in ontario.
74714,NOT VERIFIABLE,NOT ENOUGH INFO,Transformers: Age of Extinction was released in The Galactic Empire.,"[[[91501, None, None, None]]]",Transformers: Age of Extinction was released in The Galactic Empire.,transformers: age of extinction was released in the galactic empire.
214215,VERIFIABLE,REFUTES,Syria includes only one ethnic group which is Italian.,"[[[254306, 254019, 'Syria', 4]]]",Syria includes only one ethnic group which is Italian.,syria includes only one ethnic group which is italian.
17525,NOT VERIFIABLE,NOT ENOUGH INFO,Taipei is the center of Taiwan.,"[[[33009, None, None, None]]]",Taipei is the center of Taiwan.,taipei is the center of taiwan.
57796,NOT VERIFIABLE,NOT ENOUGH INFO,In & Out is a film.,"[[[74134, None, None, None]]]",In & Out is a film.,in & out is a film.
14646,VERIFIABLE,SUPPORTS,Hugo Weaving is a voice actor.,"[[[29940, 36491, 'Hugo_Weaving', 7]]]",Hugo Weaving is a voice actor.,hugo weaving is a voice actor.
153512,NOT VERIFIABLE,NOT ENOUGH INFO,The Proposal stars Kittens.,"[[[297333, None, None, None], [341469, None, None, None], [341482, None, None, None]]]",The Proposal stars Kittens.,the proposal stars kittens.
143166,NOT VERIFIABLE,NOT ENOUGH INFO,Anil Kapoor has a profession.,"[[[166235, None, None, None]]]",Anil Kapoor has a profession.,anil kapoor has a profession.
186147,VERIFIABLE,SUPPORTS,There are people in Ontario.,"[[[217078, 223714, 'Ontario', 1]], [[217078, 223715, 'Ontario', 3]], [[217078, 223716, 'Ontario', 13]], [[217078, 223717, 'Ontario', 14]]]",There are people in Ontario.,there are people in ontario.
196825,NOT VERIFIABLE,NOT ENOUGH INFO,Sean Connery is a businessman.,"[[[231273, None, None, None]]]",Sean Connery is a businessman.,sean connery is a businessman.
