claim,reason,count_rows,labels_observed
mark millar has worked on cars.,quarantined_conflicting_labels,0,
cirrhosis can cause death.,quarantined_conflicting_labels,0,
history of art only includes computers.,quarantined_conflicting_labels,0,
"beverly hills, 90210 addressed global human rights.",quarantined_conflicting_labels,0,
little boy was dropped by a plane piloted by a robot.,quarantined_conflicting_labels,0,
the united kingdom is a member of organizations.,quarantined_conflicting_labels,0,
"imagine dragons have an album called ""it's time.""",quarantined_conflicting_labels,0,
xxx: return of xander cage is a drama film.,quarantined_conflicting_labels,0,
kirk douglas is a director.,quarantined_conflicting_labels,0,
elephants have been featured in places.,quarantined_conflicting_labels,0,
inception stars ellen page.,quarantined_conflicting_labels,0,
love & friendship features an actress.,quarantined_conflicting_labels,0,
woody allen is a computer program.,quarantined_conflicting_labels,0,
egypt is a member of the aligned movement.,quarantined_conflicting_labels,0,
frederick trump was born in a village.,quarantined_conflicting_labels,0,
underworld's supporting character is named selene.,quarantined_conflicting_labels,0,
harald v of norway married princess kate.,quarantined_conflicting_labels,0,
michelle rodriguez worked in graveyards.,quarantined_conflicting_labels,0,
hungary is bordered by china.,quarantined_conflicting_labels,0,
cricket is followed in australasia.,quarantined_conflicting_labels,0,
caryn mandabach produced canadian hits.,quarantined_conflicting_labels,0,
the singing detective has episodes.,quarantined_conflicting_labels,0,
the last episode of inhumans released in 1999.,quarantined_conflicting_labels,0,
girls' generation is japanese.,quarantined_conflicting_labels,0,
the portuguese empire existed during the golden ages.,quarantined_conflicting_labels,0,
veronika decides to die is based on a movie by paulo coelho.,quarantined_conflicting_labels,0,
eragon is a film starring a dragon.,quarantined_conflicting_labels,0,
"adele wrote ""rolling in the deep"" when she was 16 years old.",quarantined_conflicting_labels,0,
hogwarts is the primary setting for the first six books in the harry potter series.,quarantined_conflicting_labels,0,
machete appears in the four avengers films.,quarantined_conflicting_labels,0,
morgan freeman is in the entertainment industry.,quarantined_conflicting_labels,0,
edward viii was succeeded by george vi.,quarantined_conflicting_labels,0,
legion was created in 1994.,quarantined_conflicting_labels,0,
"pitch perfect 3 stars anna kendrick, anna camp, rebel wilson, brittany snow, hailee steinfeld, alexis knapp, ester dean, hana mae lee, chrissie fit, kelley jakle.",quarantined_conflicting_labels,0,
venice is located in the venetian lagoon.,quarantined_conflicting_labels,0,
mrs henderson presents is a horror film.,quarantined_conflicting_labels,0,
"ayutthaya was friendly towards chinese, dutch, english, vietnamese, indian, japanese, persian, portuguese, spanish, and french people.",quarantined_conflicting_labels,0,
cary grant appeared in a film.,quarantined_conflicting_labels,0,
wonder woman is a canadian comic book character.,quarantined_conflicting_labels,0,
same-sex marriage is legal in the american territory,quarantined_conflicting_labels,0,
lee min-ho is a south korean writer.,quarantined_conflicting_labels,0,
"drama school offers a bachelor of arts, bachelor of fine arts, or, occasionally, bachelor of science or bachelor of design. graduate students may take a master of arts, master of science, master of fine arts, doctor of arts, doctor of fine arts, or doctor of philosophy degree.",quarantined_conflicting_labels,0,
akshay kumar is on forbes' global list of least-paid actors.,quarantined_conflicting_labels,0,
mary-louise parker did not receive a golden globe.,quarantined_conflicting_labels,0,
helios is the son of olympian deities.,quarantined_conflicting_labels,0,
the los angeles lakers defeated the knicks in the finals championship.,quarantined_conflicting_labels,0,
matt smith's first televised part was in the bbc adaptation of philip pullman's the shadow in the north.,quarantined_conflicting_labels,0,
the promise premiered in canada.,quarantined_conflicting_labels,0,
the long run was rejected by the eagles.,quarantined_conflicting_labels,0,
mark bomback is from boston.,quarantined_conflicting_labels,0,
paul pogba is a basketball player.,quarantined_conflicting_labels,0,
the ten commandments is a french film.,quarantined_conflicting_labels,0,
emily browning starred in the echo of thunder.,quarantined_conflicting_labels,0,
"portuguese, spanish, asturian-leonese, aragonese, catalan, gascon, provençal, gallo-wallon, french, franco-provençal, romansh, and ladin are western romance languages.",quarantined_conflicting_labels,0,
ileana d'cruz only starred in twilight.,quarantined_conflicting_labels,0,
the national security agency has at least one official responsibility.,quarantined_conflicting_labels,0,
ryder has a fleet of trucks to buy.,quarantined_conflicting_labels,0,
chris terrio is an american screenwriter.,quarantined_conflicting_labels,0,
short term 12 was produced by destin daniel cretton.,quarantined_conflicting_labels,0,
anil kapoor has a profession.,quarantined_conflicting_labels,0,
extreme environments can only be caused by humans.,quarantined_conflicting_labels,0,
the dark knight rises' filming took place in a city.,quarantined_conflicting_labels,0,
renaissance art only involved leonardo da vinci and milan.,quarantined_conflicting_labels,0,
true detective is a tv show.,quarantined_conflicting_labels,0,
twilight's first novel has a released companion novel called midnight sun.,quarantined_conflicting_labels,0,
michelle pfeiffer lost a bafta award.,quarantined_conflicting_labels,0,
life after death is by an opera singer.,quarantined_conflicting_labels,0,
billy bob thornton appeared in u turn.,quarantined_conflicting_labels,0,
frank sinatra died in december.,quarantined_conflicting_labels,0,
stagira is across from stageira.,quarantined_conflicting_labels,0,
colin quinn is an american producer.,quarantined_conflicting_labels,0,
sunrise created ghost in the shell.,quarantined_conflicting_labels,0,
green day is from boston.,quarantined_conflicting_labels,0,
ballet shoes premiered in britain.,quarantined_conflicting_labels,0,
thiokol was also known as satan.,quarantined_conflicting_labels,0,
cosmopolitan as of 2011 contains content which includes articles on political dialogue.,quarantined_conflicting_labels,0,
beyoncé is armenian.,quarantined_conflicting_labels,0,
spider-man won an academy award for best sound mixing.,quarantined_conflicting_labels,0,
gillian jacobs has only appeared in the film brother nature.,quarantined_conflicting_labels,0,
the weeknd is an actor.,quarantined_conflicting_labels,0,
the champ stars an armenian actress.,quarantined_conflicting_labels,0,
artemis brought and relieved disease in men.,quarantined_conflicting_labels,0,
azerbaijan is a state.,quarantined_conflicting_labels,0,
wonder woman is a movie character.,quarantined_conflicting_labels,0,
woody allen died shortly after childbirth.,quarantined_conflicting_labels,0,
the west wing contains no rooms.,quarantined_conflicting_labels,0,
popular culture is only about computers.,quarantined_conflicting_labels,0,
james blake (musician) released his first album in 2016.,quarantined_conflicting_labels,0,
omar sharif was fluent exclusively in hebrew.,quarantined_conflicting_labels,0,
peggy sue got married was directed by spike lee.,quarantined_conflicting_labels,0,
"keith urban is the artist behind the song ""defying gravity.""",quarantined_conflicting_labels,0,
star wars: the force awakens is a book.,quarantined_conflicting_labels,0,
dangal's (film) principal photography commenced in india.,quarantined_conflicting_labels,0,
seven days in may stars robert pattinson.,quarantined_conflicting_labels,0,
the fosters is a country.,quarantined_conflicting_labels,0,
merlin was awoken by julian jones.,quarantined_conflicting_labels,0,
the shadow line was written by an american man.,quarantined_conflicting_labels,0,
"views had the album ""pop style.""",quarantined_conflicting_labels,0,
atomic blonde is based on watchmen.,quarantined_conflicting_labels,0,
dawn of the planet of the apes is a disney film.,quarantined_conflicting_labels,0,
extreme environments can be caused by a variety of factors that push equilibrium off.,quarantined_conflicting_labels,0,
andy kaufman was a performer.,quarantined_conflicting_labels,0,
james bryant conant wrote slums and suburbs.,quarantined_conflicting_labels,0,
chris carter has a singing career.,quarantined_conflicting_labels,0,
fences stars an animatronic figure.,quarantined_conflicting_labels,0,
paul thomas anderson produced a film.,quarantined_conflicting_labels,0,
volleyball is a business.,quarantined_conflicting_labels,0,
bal gangadhar tilak taught.,quarantined_conflicting_labels,0,
taipei is the least important city of taiwan.,quarantined_conflicting_labels,0,
yusuke murata wrote eyeshield 21.,quarantined_conflicting_labels,0,
ruth negga was born in africa.,quarantined_conflicting_labels,0,
cara delevingne was involved in a film.,quarantined_conflicting_labels,0,
jack nicholson has many films.,quarantined_conflicting_labels,0,
meryl streep is an award losing actress.,quarantined_conflicting_labels,0,
a perfect circle is a canadian supergroup.,quarantined_conflicting_labels,0,
paul pogba has won zero coppa italia titles.,quarantined_conflicting_labels,0,
will ferrell wrote screenplays with a filmmaker.,quarantined_conflicting_labels,0,
maggie gyllenhaal is a canadian.,quarantined_conflicting_labels,0,
ryder is an armenian company.,quarantined_conflicting_labels,0,
the midwestern united states includes south korea.,quarantined_conflicting_labels,0,
mary marvel predates something.,quarantined_conflicting_labels,0,
jun ji-hyun is in a film.,quarantined_conflicting_labels,0,
anti-nuclear antibodies has zero subtypes.,quarantined_conflicting_labels,0,
socrates was a founder of eastern philosophy.,quarantined_conflicting_labels,0,
andrew jackson was the founder of the republican party.,quarantined_conflicting_labels,0,
the council on foreign relations was founded in 1821.,quarantined_conflicting_labels,0,
bradley cooper is a director.,quarantined_conflicting_labels,0,
matt smith's first television role was in a box.,quarantined_conflicting_labels,0,
tony blair was prime minister of spain.,quarantined_conflicting_labels,0,
led zeppelin is an english rock band.,quarantined_conflicting_labels,0,
cirrhosis can cause blue skin.,quarantined_conflicting_labels,0,
warm leatherette is by a government official.,quarantined_conflicting_labels,0,
nanotechnology is manipulation of energy.,quarantined_conflicting_labels,0,
helike was a roman city.,quarantined_conflicting_labels,0,
destiny is centered around gun and weapon-based combat.,quarantined_conflicting_labels,0,
dysphonia can be characterized by some effect on vocal quality.,quarantined_conflicting_labels,0,
bill cosby starred in a television show.,quarantined_conflicting_labels,0,
the meyerowitz stories stars a cat.,quarantined_conflicting_labels,0,
aruba is landlocked.,quarantined_conflicting_labels,0,
fergie put out a single.,quarantined_conflicting_labels,0,
helike was submerged in 373 ad.,quarantined_conflicting_labels,0,
lee majors is a dead body.,quarantined_conflicting_labels,0,
apple inc.'s consumer software includes dead people.,quarantined_conflicting_labels,0,
amsterdam airport schiphol serves as a base for delta air lines.,quarantined_conflicting_labels,0,
a crown colony is now known as a royal colony.,quarantined_conflicting_labels,0,
gift of the night fury stars the voice of an actor whose middle name is brandon.,quarantined_conflicting_labels,0,
dysphonia can be characterized by hoarse vocal qualities.,quarantined_conflicting_labels,0,
"eminem sings ""lose yourself.""",quarantined_conflicting_labels,0,
george foreman worked.,quarantined_conflicting_labels,0,
hugo weaving is a voice actor.,quarantined_conflicting_labels,0,
there is no record that richard nixon's wife ever moved.,quarantined_conflicting_labels,0,
there are christian states in the world.,quarantined_conflicting_labels,0,
jerome is recognized by russians.,quarantined_conflicting_labels,0,
tesla model s is a sports car.,quarantined_conflicting_labels,0,
hypothyroidism can cause headaches.,quarantined_conflicting_labels,0,
bonnie hunt was in shawshank redemption.,quarantined_conflicting_labels,0,
the fosters is a recorded work.,quarantined_conflicting_labels,0,
charles woodruff yost died.,quarantined_conflicting_labels,0,
history of art includes aesthetics.,quarantined_conflicting_labels,0,
the hangover part iii includes dave chapelle.,quarantined_conflicting_labels,0,
lion was directed by garth davis in 2016.,quarantined_conflicting_labels,0,
just dance was released in april 2008.,quarantined_conflicting_labels,0,
c. s. forester wrote tales of land-based warfare.,quarantined_conflicting_labels,0,
the south wales valleys are also known as something else.,quarantined_conflicting_labels,0,
afghanistan is the source of an empire.,quarantined_conflicting_labels,0,
lee harvey oswald was canadian.,quarantined_conflicting_labels,0,
justinian i was an east roman emperor.,quarantined_conflicting_labels,0,
me before you stars tom hanks.,quarantined_conflicting_labels,0,
james bryant conant wrote the education of american teachers.,quarantined_conflicting_labels,0,
lightning rod are called air terminals.,quarantined_conflicting_labels,0,
elsa pataky is a squid.,quarantined_conflicting_labels,0,
andrew garfield is a person.,quarantined_conflicting_labels,0,
donnie wahlberg is a creative work producer.,quarantined_conflicting_labels,0,
central america contains agriculture.,quarantined_conflicting_labels,0,
duane hopwood includes ryan gosling.,quarantined_conflicting_labels,0,
joe manganiello has worked with an actor.,quarantined_conflicting_labels,0,
pi is a rational number.,quarantined_conflicting_labels,0,
the academy honorary award was instituted for an award previous called the palm d'or.,quarantined_conflicting_labels,0,
investment funds are also referred to by other names.,quarantined_conflicting_labels,0,
jim rash is a man.,quarantined_conflicting_labels,0,
nick jonas was released by the dead.,quarantined_conflicting_labels,0,
a dog has written for doctor who.,quarantined_conflicting_labels,0,
drama school offers a ph.d.,quarantined_conflicting_labels,0,
the 19th g7 summit included politicians.,quarantined_conflicting_labels,0,
a perfect circle is a country supergroup.,quarantined_conflicting_labels,0,
the legend of tarzan (film) is based on a real person.,quarantined_conflicting_labels,0,
asset management may apply to intangible assets such as human capital.,quarantined_conflicting_labels,0,
beauty shop stars a human.,quarantined_conflicting_labels,0,
floyd mayweather jr. is a current amateur boxer.,quarantined_conflicting_labels,0,
tubelight is produced by an american director.,quarantined_conflicting_labels,0,
saturn is a christian state.,quarantined_conflicting_labels,0,
cancer can be prevented by taking certain measures.,quarantined_conflicting_labels,0,
adrian molina co-directed the good dinosaur.,quarantined_conflicting_labels,0,
odin travels independently only.,quarantined_conflicting_labels,0,
reuters transmits news in at least one language.,quarantined_conflicting_labels,0,
the world according to paris starred brooke mueller.,quarantined_conflicting_labels,0,
a song of ice and fire is a movie.,quarantined_conflicting_labels,0,
gift of the night fury stars the voice of an american filmmaker.,quarantined_conflicting_labels,0,
asia is landlocked.,quarantined_conflicting_labels,0,
pablo picasso was an etcher.,quarantined_conflicting_labels,0,
ice hockey is popular in russia.,quarantined_conflicting_labels,0,
captain america is part of dc comics.,quarantined_conflicting_labels,0,
caryn mandabach produced that '80s show.,quarantined_conflicting_labels,0,
neil young is not canadian.,quarantined_conflicting_labels,0,
the proposal stars kittens.,quarantined_conflicting_labels,0,
a crown colony is also known as something else.,quarantined_conflicting_labels,0,
jimmy carter was a baseball player.,quarantined_conflicting_labels,0,
the ten commandments is an action film.,quarantined_conflicting_labels,0,
a nightmare on elm street stars at least one actor.,quarantined_conflicting_labels,0,
central america contains england.,quarantined_conflicting_labels,0,
iain glen is a cat.,quarantined_conflicting_labels,0,
"beverly hills, 90210 was a non-political or social commentary show.",quarantined_conflicting_labels,0,
christine daaé is a character from twilight.,quarantined_conflicting_labels,0,
the outcasts is a 1993 film.,quarantined_conflicting_labels,0,
the royal tenenbaums only stars emma stone.,quarantined_conflicting_labels,0,
john mccain is a person.,quarantined_conflicting_labels,0,
legion was written by peter griffin.,quarantined_conflicting_labels,0,
ed sheeran is an english muffin.,quarantined_conflicting_labels,0,
what a girl wants earned a gold certification in sweden.,quarantined_conflicting_labels,0,
lionel messi stayed in boston his whole life.,quarantined_conflicting_labels,0,
edgar award honors the best.,quarantined_conflicting_labels,0,
radiohead is a group.,quarantined_conflicting_labels,0,
the hermetic order of the golden dawn was devoted to knowledge.,quarantined_conflicting_labels,0,
dopamine is a gas.,quarantined_conflicting_labels,0,
jesse eisenberg starred in a film.,quarantined_conflicting_labels,0,
charles marie de la condamine was an astronomer.,quarantined_conflicting_labels,0,
deadpool 2 featured superheroes.,quarantined_conflicting_labels,0,
kate & leopold is a horror film.,quarantined_conflicting_labels,0,
northeast megalopolis includes portland.,quarantined_conflicting_labels,0,
thiokol was also known as thiokol chemical corporation.,quarantined_conflicting_labels,0,
unleashed stars jackie chan.,quarantined_conflicting_labels,0,
extreme environments can be caused by carbon monoxide.,quarantined_conflicting_labels,0,
vanilla sky stars only actors and actresses from austria.,quarantined_conflicting_labels,0,
mackenzie foy starred in the twilight saga: breaking dawn -- part 1.,quarantined_conflicting_labels,0,
ilkhanate contained large amounts of territory.,quarantined_conflicting_labels,0,
dan martin is canadian.,quarantined_conflicting_labels,0,
ethiopia is on a cape.,quarantined_conflicting_labels,0,
italy's natives are italians.,quarantined_conflicting_labels,0,
dysphonia can be characterized by rough vocal qualities.,quarantined_conflicting_labels,0,
"sleep can be disrupted by dyssomnia, insomnia, hypersomnia, narcolepsy, sleep apnea, parasomnia, sleepwalking, rem behavior disorder, bruxism, and circadian rhythm sleep disorders.",quarantined_conflicting_labels,0,
the singing detective had an episode called runaway.,quarantined_conflicting_labels,0,
diane ruggiero's full name is diane cameron.,quarantined_conflicting_labels,0,
jesus is also known as jesus of canada.,quarantined_conflicting_labels,0,
adrian molina has worked on live action films.,quarantined_conflicting_labels,0,
melisandre appeared in the fifth novel in a song of ice and fire.,quarantined_conflicting_labels,0,
michael jackson was a musician.,quarantined_conflicting_labels,0,
chris mckenna has written multiple episodes for the series community.,quarantined_conflicting_labels,0,
allen ginsberg wrote a poem about syrian refugees.,quarantined_conflicting_labels,0,
charles marie de la condamine was a profession.,quarantined_conflicting_labels,0,
snooki is a professional boxer.,quarantined_conflicting_labels,0,
streptococcus belongs to an order.,quarantined_conflicting_labels,0,
the nile drains through a forest.,quarantined_conflicting_labels,0,
taiwan is a nation.,quarantined_conflicting_labels,0,
21 jump street was released by a production company.,quarantined_conflicting_labels,0,
labor pains was released on august 4 in the united kingdom.,quarantined_conflicting_labels,0,
appian way productions was established by a murderer.,quarantined_conflicting_labels,0,
little mix is a band.,quarantined_conflicting_labels,0,
chet atkins produced records for elvis presley.,quarantined_conflicting_labels,0,
the champ stars jessica biel.,quarantined_conflicting_labels,0,
the supernatural pilot was directed by eric kripke.,quarantined_conflicting_labels,0,
travis scott is an american citizen.,quarantined_conflicting_labels,0,
horseshoe falls is one of a set of three mountains.,quarantined_conflicting_labels,0,
international relations includes animals.,quarantined_conflicting_labels,0,
galaxy quest was directed by james cameron.,quarantined_conflicting_labels,0,
estella warren is a current synchronized swimmer.,quarantined_conflicting_labels,0,
"snoop dogg has the albums da game is to be sold, not to be told and no limit top dogg.",quarantined_conflicting_labels,0,
deadpool 2 featured scarlett johansson.,quarantined_conflicting_labels,0,
ātman means soulless.,quarantined_conflicting_labels,0,
cricket is followed in oceania.,quarantined_conflicting_labels,0,
a wrinkle in time was directed by ava duvernay.,quarantined_conflicting_labels,0,
land rover makes lamborghini.,quarantined_conflicting_labels,0,
drama school offers a degree.,quarantined_conflicting_labels,0,
gennady golovkin is a fencer.,quarantined_conflicting_labels,0,
northeast megalopolis includes cities.,quarantined_conflicting_labels,0,
iran is a power.,quarantined_conflicting_labels,0,
john constantine got his own comic in 2017.,quarantined_conflicting_labels,0,
taraji p. henson is a performer.,quarantined_conflicting_labels,0,
tony blair was leader of the conservative party.,quarantined_conflicting_labels,0,
feels so good was released as an album.,quarantined_conflicting_labels,0,
leslie howard was a director.,quarantined_conflicting_labels,0,
destiny was released exclusively for the wii.,quarantined_conflicting_labels,0,
sunburn is a title.,quarantined_conflicting_labels,0,
the nile drains through russia.,quarantined_conflicting_labels,0,
the champ stars a film producer.,quarantined_conflicting_labels,0,
minions is a film production.,quarantined_conflicting_labels,0,
tokyo ghoul has a character.,quarantined_conflicting_labels,0,
patch adams (film) is the name of a film university.,quarantined_conflicting_labels,0,
estella warren is american.,quarantined_conflicting_labels,0,
galaxy quest is a horror movie.,quarantined_conflicting_labels,0,
labor pains was released in august in a country.,quarantined_conflicting_labels,0,
macbeth was drawn by shakespeare.,quarantined_conflicting_labels,0,
prometheus is a science-fiction horror film that involves aliens.,quarantined_conflicting_labels,0,
paul simon is a pisces.,quarantined_conflicting_labels,0,
joey graceffa is a youtube personage.,quarantined_conflicting_labels,0,
the prince of egypt takes place in egypt.,quarantined_conflicting_labels,0,
umbrella was released through capital records.,quarantined_conflicting_labels,0,
connie britton played a role in american crime story.,quarantined_conflicting_labels,0,
hate group practices a philosopy.,quarantined_conflicting_labels,0,
fences stars emma stone.,quarantined_conflicting_labels,0,
george a. romero directed a movie.,quarantined_conflicting_labels,0,
tipper gore is an artist.,quarantined_conflicting_labels,0,
mackenzie foy starred in twilight.,quarantined_conflicting_labels,0,
before night falls is a bleak horror film.,quarantined_conflicting_labels,0,
buddhism is a god.,quarantined_conflicting_labels,0,
24 is a historical fiction film.,quarantined_conflicting_labels,2,NOT ENOUGH INFO|REFUTES
"the fate of the furious was theatrically released in the united states on april 4th, 2017.",quarantined_conflicting_labels,0,
the great debaters stars jurnee smollett.,quarantined_conflicting_labels,0,
music bank (tv series) has been hosted by song hye-kyo.,quarantined_conflicting_labels,0,
venus has a similar size to mars.,quarantined_conflicting_labels,0,
famous in love stars sea otters.,quarantined_conflicting_labels,0,
"vikrant massey starred in dharam veer, balika vadhu, baba aiso varr dhoondo, v the serial, and qubool hai.",quarantined_conflicting_labels,0,
laura linney was in a movie.,quarantined_conflicting_labels,0,
michael jackson was killed by dr. oz.,quarantined_conflicting_labels,0,
saratoga includes mark hamill.,quarantined_conflicting_labels,0,
snooki is a television host.,quarantined_conflicting_labels,0,
marie curie was a physicist.,quarantined_conflicting_labels,0,
movies are a popular culture category.,quarantined_conflicting_labels,0,
giacomo casanova died in a box.,quarantined_conflicting_labels,0,
the boys from brazil stars liv ullmann.,quarantined_conflicting_labels,0,
gil sharone played a role on an episode of a sitcom created by james burrows.,quarantined_conflicting_labels,0,
machete appears in the grindhouse real trailer.,quarantined_conflicting_labels,0,
"michael caine starred in get carter, the last valley, sleuth, the man who would be king, and a bridge too far.",quarantined_conflicting_labels,0,
victor hugo was an artist.,quarantined_conflicting_labels,0,
a block is also called a dead body.,quarantined_conflicting_labels,0,
frank ocean was denied american citizenship.,quarantined_conflicting_labels,0,
jennifer hudson came in seventh place on the voice.,quarantined_conflicting_labels,0,
sophie turner starred in a film.,quarantined_conflicting_labels,0,
same-sex marriage is illegal in the republic of ireland.,quarantined_conflicting_labels,0,
the bridges of madison county is a science fiction film.,quarantined_conflicting_labels,0,
transformers: age of extinction was released in the galactic empire.,quarantined_conflicting_labels,0,
semitic languages are spoken in a country.,quarantined_conflicting_labels,0,
ilkhanate contained poland.,quarantined_conflicting_labels,0,
ministates include a country.,quarantined_conflicting_labels,0,
snooki is canadian.,quarantined_conflicting_labels,0,
your highness stars a bird.,quarantined_conflicting_labels,0,
laura linney was on the titanic.,quarantined_conflicting_labels,0,
sean connery is a businessman.,quarantined_conflicting_labels,0,
dopamine receives signals from other nerve cells.,quarantined_conflicting_labels,0,
international relations includes the u.n.,quarantined_conflicting_labels,0,
gift of the night fury exclusively stars the voices of people from kenya.,quarantined_conflicting_labels,0,
"laura linney was in lorenzo's oil, you can count on me (2000), kinsey (2004) and the savages (2007), primal fear (1996), the truman show (1998), mystic river (2003), love actually (2003) and the squid and the whale (2005).",quarantined_conflicting_labels,0,
morena baccarin was in the film batman.,quarantined_conflicting_labels,0,
aix-marseille-provence metropolis encompasses a city.,quarantined_conflicting_labels,0,
the man with the iron fists only stars adam sandler.,quarantined_conflicting_labels,0,
saratoga is exclusively a children's film.,quarantined_conflicting_labels,0,
furia is adapted from a real event.,quarantined_conflicting_labels,0,
qatar is not an island.,quarantined_conflicting_labels,0,
egypt is a member of the organisation of islamic noncooperation.,quarantined_conflicting_labels,0,
ecuador borders other countries.,quarantined_conflicting_labels,0,
"richmond, virginia is a neighbor to the federal reserve bank of richmond.",quarantined_conflicting_labels,0,
absolute beginners featured someone.,quarantined_conflicting_labels,0,
burundi is a sovereign state.,quarantined_conflicting_labels,0,
david carradine was a producer.,quarantined_conflicting_labels,0,
helena bonham carter is unable to act in movies.,quarantined_conflicting_labels,0,
chris hemsworth starred in snow white and the huntsman.,quarantined_conflicting_labels,0,
amitabh bachchan received the highest honor by the government of france.,quarantined_conflicting_labels,0,
"deadpool 2 featured ryan reynolds, morena baccarin, ed skrein, t. j. miller, gina carano, leslie uggams, brianna hildebrand, and stefan kapičić.",quarantined_conflicting_labels,0,
linux distributes software.,quarantined_conflicting_labels,0,
vincente minnelli is italian.,quarantined_conflicting_labels,0,
julie walters failed to be an actress.,quarantined_conflicting_labels,0,
sleep can be disrupted by medical conditions.,quarantined_conflicting_labels,0,
nikola tesla was a person.,quarantined_conflicting_labels,0,
kalpana raghavendar is a grave robber.,quarantined_conflicting_labels,0,
the catalyst is a rock song.,quarantined_conflicting_labels,0,
meryl streep has lost three or more competitive oscars for acting.,quarantined_conflicting_labels,0,
deadpool 2 features actors.,quarantined_conflicting_labels,0,
"cupid (2009 tv series) stopped airing on june 16th, 2009.",quarantined_conflicting_labels,0,
syria includes various ethnic groups.,quarantined_conflicting_labels,0,
vito corleone is a father.,quarantined_conflicting_labels,0,
matt sorum's touring project kings of chaos features members of zz top.,quarantined_conflicting_labels,0,
the brown bear is a mammal.,quarantined_conflicting_labels,0,
"views had the album ""one dance.""",quarantined_conflicting_labels,0,
the voice is a dancing competition.,quarantined_conflicting_labels,0,
tamera mowry portrayed tia campbell.,quarantined_conflicting_labels,0,
in & out is a horror film.,quarantined_conflicting_labels,0,
