claim_id,claim,evidence,label,document_id,dataset
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"However, to reduce the incidence even further, greater strides must be made in reducing prenatal smoke exposure and implementing other recommended infant care practices.",0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,Continued research is needed to identify the pathophysiological basis of SIDS.,0,2613775,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.,1,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ContextChronic hepatitis C is the leading cause for liver transplantation in the United States.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"Intravenous drug use, the major risk factor, accounts for approximately 60% of hepatitis C virus transmission.",0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Information from the United Network of Organ Sharing (UNOS) does not address substance use among liver transplantation patients.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ObjectiveTo identify addiction-related criteria for admission to the UNOS liver transplantation waiting list and posttransplantation problems experienced by patients who are prescribed maintenance methadone.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"Design, Setting, and ParticipantsMail survey of all 97 adult US liver transplantation programs (belonging to UNOS) in March 2000 with telephone follow-up conducted in May and June 2000.Main Outcome MeasuresPrograms' acceptance and management of patients with past or present substance use disorder.",0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"ResultsOf the 97 programs surveyed, 87 (90%) responded.",0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"All accept applicants with a history of alcoholism or other addictions, including heroin dependence.",0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Eighty-eight percent of the responding programs require at least 6 months of abstinence from alcohol; 83% from illicit drugs.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Ninety-four percent have addiction treatment requirements.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Consultations from substance abuse specialists are obtained by 86%.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Patients receiving methadone maintenance are accepted by 56% of the responding programs.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Approximately 180 patients receiving methadone maintenance are reported to have undergone liver transplantation.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ConclusionsMost liver transplantation programs have established policies for patients with substance use disorders.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Opiate-dependent patients receiving opiate replacement therapy seem underrepresented in transplantation programs.,0,44265107,scifact
scifact_9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Little anecdotal evidence for negative impact of opiate replacement therapy on liver transplantation outcome was found.,0,44265107,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.,0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"Wolfram syndrome 1 (WFS1) has been shown to be an important regulator of the ER stress signalling pathway; however, its role in β-cell function remains unclear.",0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Here we provide evidence that WFS1 is essential for glucose- and glucagon-like peptide 1 (GLP-1)-stimulated cyclic AMP production and regulation of insulin biosynthesis and secretion.,0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"Stimulation with glucose causes WFS1 translocation from the ER to the plasma membrane, where it forms a complex with adenylyl cyclase 8 (AC8), an essential cAMP-generating enzyme in the β-cell that integrates glucose and GLP-1 signalling.",0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"ER stress and mutant WFS1 inhibit complex formation and activation of AC8, reducing cAMP synthesis and insulin secretion.",0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,These findings reveal that an ER-stress-related protein has a distinct role outside the ER regulating both insulin biosynthesis and secretion.,0,32587939,scifact
scifact_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,The reduction of WFS1 protein on the plasma membrane during ER stress is a contributing factor for β-cell dysfunction and progression of type 2 diabetes.,0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.,0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"Wolfram syndrome 1 (WFS1) has been shown to be an important regulator of the ER stress signalling pathway; however, its role in β-cell function remains unclear.",0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,Here we provide evidence that WFS1 is essential for glucose- and glucagon-like peptide 1 (GLP-1)-stimulated cyclic AMP production and regulation of insulin biosynthesis and secretion.,0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"Stimulation with glucose causes WFS1 translocation from the ER to the plasma membrane, where it forms a complex with adenylyl cyclase 8 (AC8), an essential cAMP-generating enzyme in the β-cell that integrates glucose and GLP-1 signalling.",0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,"ER stress and mutant WFS1 inhibit complex formation and activation of AC8, reducing cAMP synthesis and insulin secretion.",0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,These findings reveal that an ER-stress-related protein has a distinct role outside the ER regulating both insulin biosynthesis and secretion.,0,32587939,scifact
scifact_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,The reduction of WFS1 protein on the plasma membrane during ER stress is a contributing factor for β-cell dysfunction and progression of type 2 diabetes.,0,32587939,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.,1,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.,1,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,CONTEXT High plasma homocysteine levels are a risk factor for mortality and vascular disease in observational studies of patients with chronic kidney disease.,0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,Folic acid and B vitamins decrease homocysteine levels in this population but whether they lower mortality is unknown.,0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,OBJECTIVE To determine whether high doses of folic acid and B vitamins administered daily reduce mortality in patients with chronic kidney disease.,0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"DESIGN, SETTING, AND PARTICIPANTS Double-blind randomized controlled trial (2001-2006) in 36 US Department of Veterans Affairs medical centers.",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,Median follow-up was 3.2 years for 2056 participants aged 21 years or older with advanced chronic kidney disease (estimated creatinine clearance < or =30 mL/min) (n = 1305) or end-stage renal disease (n = 751) and high homocysteine levels (> or = 15 micromol/L).,0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"INTERVENTION Participants received a daily capsule containing 40 mg of folic acid, 100 mg of pyridoxine hydrochloride (vitamin B6), and 2 mg of cyanocobalamin (vitamin B12) or a placebo.",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,MAIN OUTCOME MEASURES The primary outcome was all-cause mortality.,0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"Secondary outcomes included myocardial infarction (MI), stroke, amputation of all or part of a lower extremity, a composite of these 3 plus all-cause mortality, time to initiation of dialysis, and time to thrombosis of arteriovenous access in hemodialysis patients.",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"It was lowered 6.3 micromol/L (25.8%; P < .001) in the vitamin group and 0.4 micromol/L (1.7%; P = .14) in the placebo group at 3 months, but there was no significant effect on mortality (448 vitamin group deaths vs 436 placebo group deaths) (hazard ratio [HR], 1.04; 95% CI, 0.91-1.18).",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"No significant effects were demonstrated for secondary outcomes or adverse events: there were 129 MIs in the vitamin group vs 150 for placebo (HR, 0.86; 95% CI, 0.67-1.08), 37 strokes in the vitamin group vs 41 for placebo (HR, 0.90; 95% CI, 0.58-1.40), and 60 amputations in the vitamin group vs 53 for placebo (HR, 1.14; 95% CI, 0.79-1.64).",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"In addition, the composite of MI, stroke, and amputations plus mortality (P = .85), time to dialysis (P = .38), and time to thrombosis in hemodialysis patients (P = .97) did not differ between the vitamin and placebo groups.",0,33409100,scifact
scifact_12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,TRIAL REGISTRATION clinicaltrials.gov Identifier: NCT00032435.,0,33409100,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,"Relapsed childhood acute lymphoblastic leukemia (ALL) carries a poor prognosis, despite intensive retreatment, owing to intrinsic drug resistance.",0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,The biological pathways that mediate resistance are unknown.,0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,"Here, we report the transcriptome profiles of matched diagnosis and relapse bone marrow specimens from ten individuals with pediatric B-lymphoblastic leukemia using RNA sequencing.",0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,"Transcriptome sequencing identified 20 newly acquired, novel nonsynonymous mutations not present at initial diagnosis, with 2 individuals harboring relapse-specific mutations in the same gene, NT5C2, encoding a 5'-nucleotidase.",0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,"Full-exon sequencing of NT5C2 was completed in 61 further relapse specimens, identifying additional mutations in 5 cases.",0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,Enzymatic analysis of mutant proteins showed that base substitutions conferred increased enzymatic activity and resistance to treatment with nucleoside analog therapies.,0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,"Clinically, all individuals who harbored NT5C2 mutations relapsed early, within 36 months of initial diagnosis (P = 0.03).",0,641786,scifact
scifact_14,5'-nucleotidase metabolizes 6MP.,These results suggest that mutations in NT5C2 are associated with the outgrowth of drug-resistant clones in ALL.,0,641786,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,Previous studies investigating the role of smooth muscle cells (SMCs) and macrophages in the pathogenesis of atherosclerosis have provided controversial results owing to the use of unreliable methods for clearly identifying each of these cell types.,0,22080671,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,"Here, using Myh11-CreERT2 ROSA floxed STOP eYFP Apoe−/− mice to perform SMC lineage tracing, we find that traditional methods for detecting SMCs based on immunostaining for SMC markers fail to detect >80% of SMC-derived cells within advanced atherosclerotic lesions.",0,22080671,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,"These unidentified SMC-derived cells exhibit phenotypes of other cell lineages, including macrophages and mesenchymal stem cells (MSCs).",0,22080671,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,"SMC-specific conditional knockout of Krüppel-like factor 4 (Klf4) resulted in reduced numbers of SMC-derived MSC- and macrophage-like cells, a marked reduction in lesion size, and increases in multiple indices of plaque stability, including an increase in fibrous cap thickness as compared to wild-type controls.",0,22080671,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,"On the basis of in vivo KLF4 chromatin immunoprecipitation-sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs.",0,22080671,scifact
scifact_15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,"Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.",0,22080671,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,CONTEXT One key target of the United Nations Millennium Development goals is to reduce the prevalence of underweight among children younger than 5 years by half between 1990 and 2015.,0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,OBJECTIVE To estimate trends in childhood underweight by geographic regions of the world.,0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"DESIGN, SETTING, AND PARTICIPANTS Time series study of prevalence of underweight, defined as weight 2 SDs below the mean weight for age of the National Center for Health Statistics and World Health Organization (WHO) reference population.",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"National prevalence rates derived from the WHO Global Database on Child Growth and Malnutrition, which includes data on approximately 31 million children younger than 5 years who participated in 419 national nutritional surveys in 139 countries from 1965 through 2002.",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"MAIN OUTCOME MEASURES Linear mixed-effects modeling was used to estimate prevalence rates and numbers of underweight children by region in 1990 and 2015 and to calculate the changes (ie, increase or decrease) to these values between 1990 and 2015.",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"RESULTS Worldwide, underweight prevalence was projected to decline from 26.5% in 1990 to 17.6% in 2015, a change of -34% (95% confidence interval [CI], -43% to -23%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"In developed countries, the prevalence was estimated to decrease from 1.6% to 0.9%, a change of -41% (95% CI, -92% to 343%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"In developing regions, the prevalence was forecasted to decline from 30.2% to 19.3%, a change of -36% (95% CI, -45% to -26%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"In Africa, the prevalence of underweight was forecasted to increase from 24.0% to 26.8%, a change of 12% (95% CI, 8%-16%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"In Asia, the prevalence was estimated to decrease from 35.1% to 18.5%, a change of -47% (95% CI, -58% to -34%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"Worldwide, the number of underweight children was projected to decline from 163.8 million in 1990 to 113.4 million in 2015, a change of -31% (95% CI, -40% to -20%).",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"Numbers are projected to decrease in all subregions except the subregions of sub-Saharan, Eastern, Middle, and Western Africa, which are expected to experience substantial increases in the number of underweight children.",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"CONCLUSIONS An overall improvement in the global situation is anticipated; however, neither the world as a whole, nor the developing regions, are expected to achieve the Millennium Development goals.",0,1606628,scifact
scifact_17,53% of perinatal mortality is due to low birth weight.,"This is largely due to the deteriorating situation in Africa where all subregions, except Northern Africa, are expected to fail to meet the goal.",0,1606628,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONTEXT Medicare's reimbursement policy was changed in 1998 to provide coverage for screening colonoscopies for patients with increased colon cancer risk, and expanded further in 2001 to cover screening colonoscopies for all individuals.",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,OBJECTIVE To determine whether the Medicare reimbursement policy changes were associated with an increase in either colonoscopy use or early stage colon cancer diagnosis.,0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"DESIGN, SETTING, AND PARTICIPANTS Patients in the Surveillance, Epidemiology, and End Results Medicare linked database who were 67 years of age and older and had a primary diagnosis of colon cancer during 1992-2002, as well as a group of Medicare beneficiaries who resided in Surveillance, Epidemiology, and End Results areas but who were not diagnosed with cancer.",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,MAIN OUTCOME MEASURES Trends in colonoscopy and sigmoidoscopy use among Medicare beneficiaries without cancer were assessed using multivariate Poisson regression.,0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"Among the patients with cancer, stage was classified as early (stage I) vs all other (stages II-IV).",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"Time was categorized as period 1 (no screening coverage, 1992-1997), period 2 (limited coverage, January 1998-June 2001), and period 3 (universal coverage, July 2001-December 2002).",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,A multivariate logistic regression (outcome = early stage) was used to assess temporal trends in stage at diagnosis; an interaction term between tumor site and time was included.,0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"RESULTS Colonoscopy use increased from an average rate of 285/100,000 per quarter in period 1 to 889 and 1919/100,000 per quarter in periods 2 (P<.001) and 3 (P vs 2<.001), respectively.",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"During the study period, 44,924 eligible patients were diagnosed with colorectal cancer.",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,The proportion of patients diagnosed at an early stage increased from 22.5% in period 1 to 25.5% in period 2 and 26.3% in period 3 (P<.001 for each pairwise comparison).,0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"The changes in Medicare coverage were strongly associated with early stage at diagnosis for patients with proximal colon lesions (adjusted relative risk period 2 vs 1, 1.19; 95% confidence interval, 1.13-1.26; adjusted relative risk period 3 vs 2, 1.10; 95% confidence interval, 1.02-1.17) but weakly associated, if at all, for patients with distal colon lesions (adjusted relative risk period 2 vs 1, 1.07; 95% confidence interval, 1.01-1.13; adjusted relative risk period 3 vs 2, 0.97; 95% confidence interval, 0.90-1.05).",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONCLUSIONS Expansion of Medicare reimbursement to cover colon cancer screening was associated with an increased use of colonoscopy for Medicare beneficiaries, and for those who were diagnosed with colon cancer, an increased probability of being diagnosed at an early stage.",0,22942787,scifact
scifact_18,61% of colorectal cancer patients are diagnosed with regional or distant metastases.,The selective effect of the coverage change on proximal colon lesions suggests that increased use of whole-colon screening modalities such as colonoscopy may have played a pivotal role.,0,22942787,scifact
scifact_19,7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,"Of all the age-related declines, memory loss is one of the most devastating.",0,3202143,scifact
scifact_19,7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,"While conditions that increase longevity have been identified, the effects of these longevity-promoting factors on learning and memory are unknown.",0,3202143,scifact
